"username","description"
"sami59","#MNVikingsSuck #MNTwinsSuck  #MNWild  #StPaulSaints #RogerMarisforMLBHOF #VikingsDEJimMarshallforNFLHOF  #NDSUBison
#GunReformNow"
"sjstill","Still wearing a mask, fully vaccinated & boosted. Don’t want to risk any chances. Retired Navy spouse & DoD Civilian. :skier::sailboat:️"
"Phantasia11366","old disabled bipolar white woman mom to best adult daughter &  a rescue doggo she/her. WA USA #blacklivesmatter #safespace correct my facts pls. try loving 1st"
"judytwin","ret. teacher, church secretary, wife 58 yrs, mom :women holding hands:, grandmother of 7, twin:people with bunny ears:dog lover, rescues, :water wave::water wave::blue heart:"
"hjuleehebert","Always stay humble and kind! If you're not outraged, you're not paying attention!  #BLM ‍:love-you gesture::rainbow::globe showing Americas::water wave::victory hand::american football::Taurus::classical building::Statue of Liberty:Separation Church& State
:prohibited:DM:transgender flag::flag: Ukraine::flag: Ukraine::folded hands::flag: Ukraine::flag: Ukraine:"
"sandybrowne7",""
"Jean28387727","Love the beauty of nature, my family and friends, gardening, reading and my dog."
"BetterTimes4All","May every good thing that you wish for our world happen.
May your positive thoughts & hopes, bring goodness back to you."
"JDoPinkie","read, think, write, speak, march/rise up; #restorativejustice"
"muir_hands","""""Too Much Personality for One, But Not Enough for Two.""""
:lion::four leaf clover::globe showing Americas::rainbow::water wave::tornado::butterfly::eagle: Agnostic/Naturistic
He/Him. Married to my Hubs/Best Friend"
"DevinCojones","DM only if pre-OK'd. Type R, guitars, Prine, Driveby Truckers, Floyd, Zep, Steely, Isbell, Ralph McTell, Kinks, Zappa, Bill Hicks, HST! DM only if pre-OK'd"
"MelcherCharlene",""
"WhoIsAntifa","I am not a Host. I am a person
https://t.co/S0o4CAK7WD"
"gwynethshaw","Reporter, editor, mom. Now: Comms writer @berkeleylaw. Then: @penn, @phillyfamilymag, @newhavenindy, @baltimoresun, @orlandosentinel. RT = think about this."
"DaveOFox13","Morning meteorologist for Good Day Tampa Bay."
"schcyn","Unapologetic John F. Kennedy Liberal:water wave::water wave::water wave::water wave: Atheist, Planned Parenthood supporter and Resistor"
"ModernEraNews","OSINT focused on the ongoing Crisis in the world, tweeting and *-* Retweeting News since 2020 #UFO #UAP"
"RealtorLakeland","Gate Arty & the Group-KELLER WILLIAMS REALTY perennially recognized by Wall Street Journal & REAL Trends as amongst the top selling real estate teams in U.S.A."
"Pastelistaz","Vote Blue to Save Democracy!"
"colek123","#Resist :water wave::water wave::water wave: #SWATT"
"ChinAmerLegal","The ideal international business advisor for Chinese companies who want to explore overseas markets, and for foreign companies who want to invest in China."
"bluwave2020","Career IT guy, absorber of information, introvert in an extrovert's world."
"BigAntone_",":smiling face with sunglasses::cold face:"
"TammyBl06054784",""
"Roxeann57","Momma of 3 Grandma of 8 I love them all . Momma of four legged babies. 2 cats 1 dog and a 32 year old :turtle: turtle. I already have a man
No:prohibited:DMs!
Blue all the way!"
"Nana_Roxie1","I believe all Americans should have the right to vote. Vote Blue 2022."
"JakobeWoods17","A #Cincywx Native, deprived of significant snowstorms and extreme severe weather :broken heart: #ManOfTheWeather :sun::snowflake::maple leaf::tulip:"
"MickeyGillick4","#EndRacism #WeAreAllOnePeople #VoteBlueSaveDemocracy   I support #BLM & :rainbow flag:"
"Vicki6324",""
"5035jjmm","Neurodiagnostic Las Vegas NV. Medical Entrepreneur Tampa FL EXPANDED YOUR MIND and FREE YOUR SOUL"
"BruceHa86541108","Sencha Skene - too liberal to be a Democrat. Too intelligent to be a Republican."
"motownmaniax","Music Lover, enjoy everything from Beyoncé to Beethoven. Have over 2000 LPs (remember those vinyl thingies? :winking face:). Oh, & PROSECUTE TRUMP! No DM's please."
"IoMangioUnaMela",""
"nicolebailey","Broker // Sourdough Baker + Poet + Environmentalist // Follow me to HugoHouse // tag me with #seattlehappyhomes IG:@misspaperwhite"
"Marie70883246","retired, Nana to 4, owned by 1 bossy Maltese dog"
"democrat1947","Please ignore who to follow section, twitter generating, not me, no lap top to fix it sorry"
"KELOUISE1","Modern Day Holystic Mystic, Cert. Herbalist/Aromatherapist. Holistic Wellness LifestyL/Consultant/Coach. Speaker/Author/Blogger. Chef/Avid Gardener/Photographer"
"casualthinking0","Defender of GA from Stacey Abrams, indirect World Series & National Champion, and fan of any #DGD #UGAfootall"
"WAOW","Welcome to News 9 WAOW's Twitter account. Email your news tips to news@waow.com. News for you from Wausau and central Wisconsin."
"CourtneyBlair18","Politics junkie. I have an identical twin. She hates trump too!!!"
"jewelof_hope","Hospice Care, Rescue, Warrior of the Heart, Music, Feminist, Yogi, Honeybees. Sucker for Kindness/Ally to the Vulnerable

#Antifascist #Antiracist #ERA"
"Luvlylayy","PROUD U.S. ARMY VETERAN :Statue of Liberty::flag: United States:

https://t.co/KOIiMSsaCo"
"styathomedogmom","The difference between stupidity and genius is that genius has its limits-Albert Einstein ."
"magicsands","Retired, mom, animal lover, Democrat, Hillary, Biden, Harris! :water wave:, Despise Trump!#GlobalWarming, #SaveTheMustangs, #SaveOurWildlife
#:flag: Ukraine: :prohibited:NO DM! #BlueCrew"
"MCEA1969","we’re all the same, whatever we do…we’ve got to live together … here to learn. prob won’t respond to dm.  #TeachAccurateHistory #VoteBlue"
"stratcat944","Petard Hoister, Feline Subordinate, Flaming Lib, Alfalfa Male, Potty Mouth, Queer, Atheist, Bad Buddhist #TheSmiths #JohnnyFuckinMarr #Morrissey"
"AntiFashTweete","Still optimist mugged by reality.

RT not endorsement. Opinions and fluids expressed mine.

Don't like? Move along.

Billionaires shouldn't exist.

NAFOtastic"
"DrJ71260483","BLM :blue heart::water wave::Sagittarius:VotingRights:broken heart:BlueCrew:rainbow:ally @drjayy on (Post)"
"solmesj23","I'm not trying to stump anybody... it's the beauty of the language that I'm interested in- Buddy Holly."
"ShellyBellyPBJ","We must rise up collectively to make the changes we need. Defund the NRA. May the bridges I burn light the way!"
"FransHibma","ICU RN, Spiritual, Equality, BLM, Dutch, California Married, kids and grandchildren, dogs, animal lover."
"no1nameleft","A grandma:purple heart:.....Antifacist...
Marched in 60s & 70s...
Racism is a virus, STOP the spread!.. Like dogs/cats/ducks & frogs... #SpeakOutALWAYS!"
"Kathmandu1214","Civil rights advocate, avid reader .retired LPN .#FBR
Mother of 3,grandmother of 2  . I block trumpers and gun nuts"
"xiaff227","Tired of the righteous right. Vote blue. Be kind to the deserving."
"FontenotDonald","Retired Navy :flag: United States:, dad to three, husband to one. :zzz: Anesthetist and former Republican...registered DEM now. Oh...REAL Patriot...American."
"MICHAEL1photog","working on my photography. Love dogs and other animals. Nothing against cats, they're great too. MICHAEL1photog https://t.co/NaYpGYmCDl & Mastodon"
"AiflexCassandra",":red heart:MatchMaker:red heart::flexed biceps: medium-dark skin tone:For Love & Fitness :sparkles:It’s all Relationship:sparkles:
We’re simply walking each other home."
"seraphinite",""
"Jawbonefnass","Proud Grandpa and Retired Union SPFX, 30 yrs in Hollywierd and my fingers never left my hands. Progressive and proud of that too."
"DebbbieF","Mom, Grandmother, Registered Nurse. Woman and Child Advocate. No DM's Please."
"tedpaden","Stuck to this snow globe spinning thru space
One World One Race: Human  
Bass player
Fight Against Fascists: Donate, Vote, get others to Vote"
"LaRoccaMomma","Privileged middle aged white wife & mother of 2 daughters. Proud Buffalonian living in L.A. managing daily life living with Multiple Sclerosis!#GoBills2021"
"Nur_Allen","Climate Change Action to save our Future!
Animal Rights to save our Soul!
Reason instead of Faith."
"yogiharel","Just a pawn in game of life (like Mongo). connector. retweets aren't endorsements (obligatory disclaimer). still learning this twitter thing. oh yeah, love gifs"
"klove3601","Choose Love :hugging face::face blowing a kiss::two hearts::revolving hearts::dizzy::sparkles:"
"Amos5210","Dem liberal for entire life. SPACES users, name-callers & haters get muted or blocked (I'm here for info & discourse only, not to max followers)."
"nothervellani","BLM #Resist :water wave::water wave::rainbow:. Trump MTG & LB are evil personified. Lock them up! Boris Johnson is a Trump incarnate. LIARS to the core. FBPE"
"cheetah1961","Democrat #UniteBlue Any truth is as good as your fiction. #i2 Stop cutting boys, girls & intersex! #Intactivist"
"DMWhinnen","A blue M&M living in a bowl of Red Hots, sometimes its a little nutty, sometimes a little spicy."
"Nancy2RESISTS","RESIST..:flag: Canada::flag: United States: 
ECE, Business Admin, Journalism, 22 WG,  photography, watching things unfold, SICK to my stomach from lies, corruption, bad elected world-wide"
"anjohne09","Proud mama of an LGBTQ child. Science is for the mind and religion is for the soul. I Fuckin hate racist! I don't need to be verified, I know who I am."
"tjaroz","IBEW AFL-CIO #UnionStrong #1u #TST :smiling face with horns: #greenpeace"
"pammyjill13","#IStandWithUkraine. #BLACKLIVESMATTER #BERNIEFOREVER #SOCIALISM Proud member of the #PeoplesParty #JusticeMatters #TeamJustice"
"attilatheblond","CDC has a state by state index to get vital records. 
https://t.co/5kqc3ohCuG…
If you need a certified proof of birth to register to vote get it!"
"QueenBertRoyal","Proud Democrat       
BidenHarris    
VotingRightsNow  Pro Choice, Gun Safety   
BLM    LBGTQAlly     StandWithUkraine
BidenDelivers
No DMs"
"jmac583","Lifetime Democrat, who actually saw JFK live. #Browns, #Indians, #votebluenomatterwho, #equalityforall, #animalrights, #trumpmustbepunished"
"DisappearedNews","@DisappearedNews@mastodon.social"
"2013anonymousa","DOOM BROWSER"
"KathyHutson1","#BlueWave2022 :water wave:  #TrumpCrimeSyndicate  #ImpeachmentIsForever ** Antifascist Boomer**"
"SocialistVoice","Democratic Socialism:rose:| Social Justice Activism :wheelchair symbol: | Trade Unionism :raised fist: medium-light skin tone: | Environmentalism :globe showing Europe-Africa::elephant: | LGBTQI+ :rainbow flag::transgender flag: | #FreePalestine :flag: Palestinian Territories: | #BlackLivesMatter"
"cathydee33","Stand with Ukraine:red heart::red heart::red heart:Despise Trump and his minions…. Love dogs, proud Canadian, can’t believe what’s happening to our beloved southern neighbors...."
"Lee30891260","Daughter, sister, wife, a USMC mother, aunt, friend. Love nature, animals, literature, music, art, travel, & freedom. Wine. Did I say wine? BU Terrier."
"KendraVoracek",""
"ohiokim2","I ignore dm's."
"griffdog51","Retired Official Court Reporter supervisor, MD WCC. Musician - Hudson River Line, One Particular Harbor, Baltimore Rockabilly. Husband, dad & Grandpop."
"KBJB1297","Psychologist. Equality, education, and exercise advocate with cross-cultural views. Believer in science.Occasional officiant. JBKB703@mstdn.social"
"ShelKel2","Just me, counselor, educator ¯\_(ツ)_/¯   
Proud liberal #resist Biden won, deal with it.  
kelshel  Po$t and Ma$todon"
"Grneyez51",""
"Beans2Nuts",""
"Geobeacon","Husband, father, grandfather, world traveler, reader, and American citizen."
"cbalcome",":love-you gesture: light skin tone::palm tree::sun with face:"
"BugboysArtie","Licensed Optician, Atheist, Boston Red Sox, Miami Dolphins,Alternative/Punk Music"
"taberard","Genius, billionaire, playboy, philanthropist...dad"
"_dog_soldier_","яιรέ  ǟռⓓ  Ⓡίˢ€  Δᵍⓐᶤⓝ

F̶̹͒́̔͊̿͗ǐ̸̱̀̈̉͛̚͝͝g̴̞͔̋̀̓̎̈́͊h̸̦̠͉̫̺̰̍̊t̵̺͍̟̣̦̦̾̌̎͆̀͝

︻デ═一:collision: ₁₃₁₂

ṯṏ ṫḩẹ ḹềḟṯ ỗḟ ỿ๏ṵ
#NotMeUs

rt ≠ anal"
"BoxNews11","Latest #FAKENEWS on Politics, Fake Quotes,and more —right on Twitter! Check out our #FactCheck :open book: & Contribute to our Unbiased Polling :ballot box with ballot: 
Join my Box Clique :package:"
"RScottTipton","I care about the oppressed.I stand for justice.I am pro choice.I speak truth. No DMs :prohibited:.BPA/MPA. #GeorgeFloyd.BLM :flag: United States:Quantum theorist. #TheTiptonTheory"
"KrisStellick",":blue heart::blue heart::blue heart:Leafs Bluejays Raptors  Be kind to your Nurse:woman health worker: light skin tone:that’s me!
No tolerance for hate! 
Be nice!"
"SherrieShamon","God Family Grandma Friends. @DierksBentley fan. Lover of sunrises, sunsets, animals. NASCAR. Martin Truex, Jr. Ohio State. Tampa Bay Bucs. :red heart: full of grateful."
"Suzy2313922857","Democracy is being attacked by the GOP. GOP still do nothing. Enjoy banter with opposition but you swear  or call vile names you will blocked. #Resist:water wave::water wave::water wave:2024"
"njdiva313","30 years Automotive Professional until finding the light as a Library Specialist. """"We are the music makers, and we are the dreamers of dreams""""....."
"PoeticLicencedk",""
"terese_renee","Mother/Wife. If people would just look past someone's outside appearance, what a wonderful world this would be! #VoteBlue #Biden2024 #FBR #Resisters #BlueCrew"
"DrAlrekArinbjor","A cat that was born in someone's back yard & spent a lot of time around some toy-poodles that were terrified of him."
"RaiderCL",""
"Hollykach00","President of She/They Harries"
"Jakki88924597","Love my country, a patriot, pro-democracy, truth does matter, stand with Ukraine. #SlavaUkraini @POTUS  @McFaul @RepJasonCrow @glennkirschner2 @JamesCarville"
"speakrighteous","Love of GOD 
I love my wife and family.
Country over Party.
I love Sports
NFL NBA MLB NHL Tennis 
Cowboys Lakers  Baltimore Orioles Pittsburgh Penguin
CNN 
FBI"
"bruce_jara","Living in interesting times is exhausting NOT exhilarating. 

No Lists please."
"truckdriver6590",""
"MikeBuenos","Life is an adventure. :water wave::globe showing Europe-Africa::desert island::spouting whale::eagle::cat::dog::see-no-evil monkey::hear-no-evil monkey::speak-no-evil monkey::dolphin::peace symbol::yin yang::Cancer::flag: Canada::flag: United States::flag: Australia::flag: Bouvet Island::flag: European Union::flag: South Africa:#FlushTheTurdOnTheThird:water wave:"
"orbaccount","a woman making typos everywhere. Swenglishing."
"unruh_jean","Just like to restate the obvious. Retired educator, farmer, Science. No DM’s. #Resist. #Votebluenomatterwho"
"anutgnuoy",""
"KidsAreGreat1","Nana fighting for the future of ALL children. They deserve to have a safe life. I'm a #metoo survivor & a survivor of physical violence & mental abuse."
"LaFirge","Retired SRN. Lover of outdoor living, wild swimming and all Blues music."
"HenryBe17205953","Ateo pero de derecha;) No Uribista ni Petrista. Economista, fanático de DEBERES, RESPONSABILIDAD Y PATERNIDAD RESPONSABLE. No tengas hijos q no puedes mantener."
"NightjarBird","IPCC’s widely-cited “code red for humanity” - less meat means less global warming.  Support a #PlantBasedTreaty & switch to a plant-based diet."
"ClimateSaveOtta","Climate Save Ottawa, / Climate Save Movement promotes an individual & societal transition to a plant-based vegan diet - essential strategy to save our planet"
"rina_mccormick","I am an artist from Kansas City, Missouri. Love everything about Florida, but the politics #Vote Blue No Matter Who, UU, VACCINATED.  No DMs please"
"WJGCapeCod","Former International Ops Dir./I'm with Cutie Patootie:red heart:/ VOTE!
:palm tree: :sun with face: :person swimming: :sunrise: :flexed biceps::musical notes: :airplane::camera: :hot beverage::beer mug: :candy::heart with ribbon::cocktail glass: :house: :american football: :basketball: :baseball::ice hockey: :smiling face with sunglasses:

 We're living the dream on Cape Cod"
"DanDjh096","I am a Animal Enthusiast and I also enjoy Movies,Gaming and Working out."
"LowCarbLoving","Living low-carb and loving it! I FollowBack...and Unfollowback.           Fat: 1g = 9 calories 
Protein: 1g = 4 calories 
Carbs: 1g = 4 calories."
"LutherDuder","#Web developer, Fed #disasternerd, ex #energygeek, former #surrealist folk-rocker. Dharma, EE/RE, cheesy movies, #Marvel, #doctorwho. dumb views my own."
"StashkaLee","1)there was no fraud(60+ lawsuits)

2)women's rights matter

3)wear a frickin:face with medical mask:if necessary (& stop being babies ffs)"
"BrandonOrrWPLG","Certified broadcast meteorologist at @WPLGLocal10 in Miami, FL."
"WPLGLocal10","South Florida News, Weather, Entertainment, Sports from WPLG Local 10 Follow us on Instagram: https://t.co/IIfr4MFhzm"
"AlajuwonUrHero","you already know once you cut the pro tools on."
"MrsAnnyG","Connecting on Twitter- Love football, Heat ball, Travel & Books. South FL:palm tree:Gator Mom, so cheer Gators:crocodile:"
"RealizeLJ","Eat some food, stay informed and crack a few laughs. Welcome to the party :party popper:

There are no pics of me in my gallery. Save yourself some time :face with tears of joy:"
"antblinares","DC :airplane: MIA | NVCC ‘23 | Poli-Sci | :man running: medium skin tone: All opinions are my own"
"BTODragons","#BidenHarrisWON :water wave: #GetInGoodTrouble #TrumpsForPrison #FreeTheChildren #BlackLivesMatter #WomensRightsAreHumanRights #LoveIsLove #ScienceIsReal #Resist :water wave::blue heart::yellow heart::sunflower:"
"Jezzrow22","preacherman call me a sinner but his little girl calls me a saint Talking Loud n Sayin Noting James Brown.the long strange trip contn’s...just gotta Polk around"
"dahlfan7","Die hard Chicago Blackhawks fan since attending my first game at six years old. Absolutely NOT a fan of Trump."
"SunTzuTech","Unix geek, software builder, bass player & singer. screaming liberal in the family. connoisseur of sarcasm and irony, and attacking logical fallacies"
"msniklaus",":prohibited:DMs:prohibited:Chainlists:prohibited:terfs :rainbow flag::transgender flag::blue heart::water wave: :face with medical mask:she/her.
Feminist. Atheist. Anti Fascist. #NotJustSad"
"blooquasar","#WSCruiseJan2016,  Feb2017, Jan2018, Feb2019 
@wwwbigbaldhead
red, white & blue:flag: United States:
                   slowly losing faith in humanity"
"tsharp10",""
"Hickenbaugh","Relieved Citizen, more work to do to protect our democracy. #Biden-Harris"
"WoodardGale","Never Trump, very opinionated, sometimes snarky. From New England"
"nbc6","South Florida's trusted source for Breaking News, Weather and Traffic. Watch us LIVE, 24/7 the #NBC6 app."
"SadiKemalARSLAN","#мυѕιc #αrт #eɴvιroɴмeɴт #ѕυѕтαιɴαвιlιтy  
꧁༺  𝕬𝖑𝖑 𝖆𝖓𝖎𝖒𝖆𝖑𝖘 𝖆𝖗𝖊 𝖊𝖖𝖚𝖆𝖑. 𝕲. ❂𝖗𝖜𝖊𝖑𝖑  ༻꧂"
"rRealNeilNash","Adult survivor of #PANS #PANDAS. Retweets/follows/likes are not endorsements, sometimes just a memo."
"GovRonDeSantis","46th Governor of the great state of Florida."
"mark_paloski","Just an ordinary man in a extraordinary world"
"Bernard56121789","I am a Child Of God"
"Too_Many_Leaks","I'm not here for Follower count and not here for money."
"MrMorri82561332","The Core Don't Like Quitters!"
"harpandsax","Florida resident!:saxophone: player :musical notes: Ruthless Podcast fan:collision:March Madness Minions Bracket Winnaaah :smiling face with sunglasses:"
"SPending2020","@SPending2020's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more."
"nscrgrl20","#1776 #MAGA #TRUMPWON Fl. 100% #Trumplican Follow back 100% , followed by the best!"
"TheNewsBox1","Blocked by Scott Baio, Rudy Giuliani, Kristie Alley,Gov Christie, Brigitte Gabriel, Diamond and Silk,  Heidi Ganahl, Kari Lake & CEO Antifa Waffle House"
"ChelseaHere3",""
"Natpers8",""
"rbnkaye99","God, Family and America First.
Please no DMs."
"nergy2015",""
"AliHassYason","Soccer enthusiast. Retweets & likes are not endorsements. Tweets and Replies are my own opinion."
"JimMcNichols1","Conservative First, Last and Always. Veteran of Multiple Political Campaigns and Principled Skeptic of Liberal 'Do-Gooderism'. RTs DO NOT Equal Endorsements."
"LtGovNunez","Lieutenant Governor of Florida"
"PerryBullock","Conservatarian, Economist, Engineer,  Politics, English/British and Military History . European History."
"actualbeefheart","Proud :flag: Cuba::flag: United States:. Union chimp, cum warlock, DC Comics stan, Grant Morrison acolyte and Swamp Thing admirer."
"pilotjimjones","Entrepreneur • Sports Enthusiast • Nerd • All opinions expressed on this platform are my own."
"evie46346945",""
"CaplanComms","Caplan Communications:registered: defends the public interest and champions climate action, environmental protection, clean energy, labor rights, science and DEIJ. :globe showing Americas:"
"LesleyH26071190","#MAGA #BlueLivesMatter #ARMYSTRONG Gmom of a US MARINE #bidensamericasucks  :money with wings:"
"garcialex",""
"akroncop","https://t.co/nkDVNluNVo"
"NapierTheFuture","Proud American :flag: U.S. Outlying Islands::skull::syringe::speaking head::hundred points:"
"blaschke_olga","proud American, wife, mother, grandmother. 100% Trump supporter,#MAGA"
"WBrandt21","I can’t believe this needs to be said, but being banned from Twitter is not censorship!"
"swampthing33155",""
"SajaMoh71251747",""
"gala68290842","DONOTGIvE UP.THEBEGINNINGIS ALWAYSTHEHARDEST"
"baker38116881","Just a friendly honest guy looking for real talk"
"iujim76","From Gary Indiana, father was a steel worker and union man. Me,Infantry commander in Vietnam, watched a lot of people die. Got sprayed with poison. Hate war!!!"
"LazyPuffin2020","Single mom, writer, resident of New Jersey, Villanova and Eagles fan, Disney addict"
"EricGreenbaum","I'm just your typical, Zen Buddhist, Conservative, Socrates.  My allegiance is to facts and reality, not a party and certainly not a politician."
"G3Mike2",""
"davegreenidge57","Int. news, science, history, opinion & satire. USAF (Ret) Bomb Tech/CBRN. “Out beyond ideas of right and wrong, there is a field. I will meet you there.” — Rumi"
"zeniadie","Some might say the funniest and best looking person on Twitter."
"billper63829444","Father,grandfather,great grandfather, Bucs fan"
"GamingFanClub19","Team Rocket's Self-Proclaimed Biggest Fan
Pokémon TCG & VGC
Clash of Clans"
"nuala357","What is normal to the spider is chaos to the fly. RT does not=endorsement. Sarcastic AF! Respiratory Therapist by day, comedian always!"
"DjMasterri","Body Muzak,Beats Lover"
"yardonna","Political Action Committee of One Voice. Support the best President ever. MAGA is not just a slogan it's our collective efforts. Conservative American!"
"SgtkevKevin","Fuck  your bell :bell:, fill my bowl."
"DeepInTropics","All animals are equal, but some animals are more equal than others. :pig face: :crocodile:"
"m_steevie",""
"Concerned941",""
"Todor_Aleksbg","IE"
"EmuHugger","Animal caregiver:peacock:
Not here for followers, here to help save America.
I wish peace & a good life for Everyone, but not at the risk of my own."
"flacitadsombras","#endbsl"
"rile74214272",""
"PedroJ53",""
"BrianfromSWFL","Husband, Father, Son, Brother, Uncle, Grandfather, Great Grandfather, Great Uncle, Cousin, Christian & Independent Voter & my 14th time getting new Twitter acct"
"Winnie45858415","ANJSEWC/SCASEWC advocate, truth seeker"
"smccinoz","Concerned global citizen and St Kilda tragic. #TheResistance #Snowflake #FBR"
"karolkay61","Vengeance is Mine, I will repay, Saith the Lord."
"Wpmredtree","100% American native Floridian:sun with face::crocodile: WAKE UP:flag: United States::folded hands: medium-light skin tone::deaf man: medium-light skin tone:We’ve got a country to save :crossed swords::Statue of Liberty::eagle::crossed swords::wolf:Alfa Foxtrot Papa :flag: United States::latin cross::folded hands: light skin tone::dove:Blessed to be American!:flag: United States:🫡:raised fist: medium-light skin tone::red circle:"
"charobolanos","Attorney in private practice - Vegan - Animal activist - Liberal Democrat #TheResistance #bethechange #Immigrant #BidenHarris2020 #BlackLivesMatter NO DMs"
"connie2589","Practicing Roman Catholic, God comes first, the rest in whatever order, Pro-Life and Cat Lover, Love my Florida, Life is a Beach. #SaveAmerica"
"kathystanton08","Trump 2024!.fb @RitaCosby @ScottBaio @charliekirk11 @KenWahl1 #Vikes fan!! #MAGA, dog lover.Blcked by @chrissyteigen, @sunnyhostin..love @Tomcruise @chaseelliot"
"Chase47535836",""
"scrappytx","Messenger for God and our Lord Jesus Christ. Husband, Father and Grandfather. God, Family and Country first.  #UltraMAGA #Trump2024 #SaveAmerica. No DM's"
"ace119282","Just started sending responses on Twitter at end of 2019.  Uh-oh....this is addictive!!:flushed face::smiling face with smiling eyes::flag: United States::red heart:   MAGA :smiling face with sunglasses:
BTW....No DM’s"
"Lance_Beaz","independent :peace symbol:. I don't accept """"followers"""". Be a leader."
"Nour61007078",""
"EileenBello","Registered Nurse
Wife, Mother, Grandmother:red heart:I love my country. Trump supporter:thumbs up::flag: United States: Keep America Great!"
"skyhighdennis","NOT LOOKING, HAPPLY MARRIED, conservative, believe only two sexes, male and female. 1st and 2nd ammendments keeps us free and have to be defended at all costs."
"FlaPack","Packers :american football:/Canes :american football: /Marlins :baseball:️ Cardinals... love my rescues.:dog: Living in paradise.:desert island::umbrella on ground: #TRUMP.:flag: United States: USA FIRST. RESIST democratic agenda. Always."
"yekimb48",""
"mamagolden66","Donald Trump is the best thing that could ever happen to this country."
"Toni5877","THEY WANT US DIVIDED. UNITED WE STAND 
DIVIDED WE FALL!"
"GadgetGirlMY","Proud DEM :prohibited:MAGAt :prohibited:GQP #FBR #BlackLivesMatter #ReformPolice #FreeRealityWinner #guncontrol #climateaction #voteblue #IStandwithUkraine NO DMs"
"Beto6717","Was happy go lucky until tRump showed up. Sad!"
"2009prince","Dad first, and the rest…sports fanatic, golf pro, miss watching the GOATS of Marino :american football: /Jordan :basketball: /Fed :tennis: and passionate about politics"
"Mickstix","Va transplant to the Sunshine state circa 1997. Go fishing and to the firing range as much as possible. Follow Redskins, Capitals, Nascar(JGR) & Gator Football."
"ChellBelle39",""
"justininglv","USAF Crew Chief/ Loggie, The Founding Fathers, 1A, 2A!! God, Freedom. :flag: United States:VGK"
"PlattyLaddy",":male sign: Be Straight
:latin cross: Do Wrongthink
""""You can call me xim/xer... Those aren't my real pronouns of course."""""
"Karen91034618",""
"bulmasan","""""If you're not outraged, you're not paying attention."""" Heather Heyer. 

Think you can tell women what to do with their bodies? Stay in your lane, Jim Bob."
"PegasusDirector","Interested in marketing and seo"
"Spatula529",""
"PennyPennewell",":flag: United States: Lawyers, Guns & Money :eagle: |  FSU Grad  | :sun: Fack/You :palm tree:"
"wvayens","Retired political junkie. Likes to analyze data and make maps. I also like playing the piano, Master's swimming, Pickleball, biking, golf."
"Suit1600",""
"mdig17",""
"JillPatton",""
"AndrewA1982","hardworking family man, love my fiance and my kids, got a passion for playing snooker, often think of what might have been...."
"neeco_tripp",""
"Jim78845404","psychology  .my thoughts my own. #BLM. trump lost bigly 2018 ,2020,2022  cant get tired of losing , stop counting  :water wave::water wave::water wave: trumpets will be  :prohibited:"
"86posers","215G :pretzel:. :red heart: my Inquirer. Law 👩‍:balance scale:️ & Literacy :books: r my steez. Civil Rights Supporter :balance scale:. 'If you don't know now you know':control knobs:. #VoteBlue :water wave::water wave:"
"C_Farrill","florida man | policy wonk | sixth gen panhandle native"
"ReedAvers",""
"Nutritiongal1","Nutritionist, Certified Diabetes Educator, """"Food Is Medicine"""" promoter"
"ShaunSilva7",""
"ronhollis","Proud dad of J Hollis (44) @ Clearwater Central Catholic (CCC). Sports builds discipline, grit and LEADERS! Reach your FULL potential! https://t.co/HsAEUWvnub"
"Stazzio",""
"grrrrlygrrrl","A lover of USMC, the F-word, Common Sense, Honor, Laughing, Sarcasm, Kindness, Animals, Happy Hour & Folks who don't tolerate B.S.
Native of Flint, MI"
"lugamaroTheReal","God, Family, Dogs. Kindness & love to those who are kind & loving. Mabel is my baby. My dad is my hero. I'll forever miss them. Strength and honor:folded hands::folded hands::paw prints::two hearts:"
"WrendyKulick","MAGA:flag: United States: TRUMP 2020"
"MamaDeCheverito","I’m a legal immigrant from Venezuela. I have lived through socialism, it's political repression, injustice, violence, and unrest."
"ronrothberg","Creator of Art Bikes Jax and the podcast Swan Dive. I love Jacksonville’s historic neighborhoods, international public art and local creators."
"RR_PhiloMath",""
"PangaMan5","Pronouns: thirsty/really thirsty"
"FlaNannyK","Grandmother"
"meyer_mobley","Califonia born, texas raised"
"sremos3","Grandpa who loves the kids, hoping for the best for them and the Country. #MAGA #KAG"
"tameCorraBan","I don't need to read dystopian fiction or books on the growth of fascism. In Florida I'm experiencing them in realtime
:flag: United Kingdom:+:flag: Ireland:      #Resist bigotry, #VoteBlue"
"NancyYia","Patriot, Mother of three, Business owner:flag: United States::slightly smiling face:"
"morganattwood","Freelance video editor and my children's taxi driver. Go Yankees!  DUUUUUUUUVAL!"
"mike71914654",""
"LoriCragle",""
"MrD81344553","U.S. ancestors since 1636. America 1st. BA/MBA/NRA. Prolife. Constitutionalist. Support LEOs, Military, Israel, IDF. Protect children!"
"Rzoni3","keep moving-:red heart:my dogs :water wave: I’m thinking Life’s a FARCE :victory hand: medium-light skin tone:&:red heart: :flag: Ukraine:"
"flajanbaby","Retired Teacher"
"mammabearsarms2","Nurse :syringe: kawigirl :motorcycle: girl mom:ribbon: wifey :ring:"
"ElvisDebley","Former LEO, Maryland State Deputy of the Year for Community Service, time for a change, one race, one family, cosplay, Elvis tribute artist, hugger!"
